Company,Year,HSI,GES,Sector,SizNumFXHedge,SizNumFXFutFor,SizNumFXFutures,HedgingIndex,AvgAnnualGPR,GDP,CPI,InterestRate,TradeBalance,AvgAnnualVolatility,TypesOfDerivativesUsed,FXDerivativesNotional,ForeignAssetsPct,CountriesOperated,HedgeAccountingMentions,IntlCapexPct,IntlEmployeesPct,SupplyChainComplexity,FilingType,PoliticalRiskInsurance,IntlRDExpensePct,VARModelMentions,RiskCommitteeMentions,ForeignRevenuePct,DerivativesFairValue
FOXA,2024,4.72,6.66,Communication Services,0.0,0.0,0.0,-0.3711620069788983,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,4,2989,0.43,4,0,0.76,0.44,0.76,10-K,1,0.4,0,0,0.76,368
ROKU,2022,4.1,5.45,Communication Services,0.0,0.0,0.0,-0.3711620069788983,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,4,1797,0.85,35,7,0.12,0.6,0.27,10-K,1,0.1,0,0,0.58,163
ROKU,2023,3.65,3.89,Communication Services,0.0,0.0,0.0,-0.3711620069788983,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,5,2968,0.31,61,2,0.45,0.6,0.26,10-K,1,0.21,0,0,0.31,48
ROKU,2024,3.79,3.69,Communication Services,0.0,0.0,0.0,-0.3711620069788983,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,5,1167,0.19,11,0,0.15,0.46,0.82,10-K,0,0.33,0,1,0.43,197
ROKU,2018,3.78,4.93,Communication Services,0.0,0.0,0.0,-0.3711620069788983,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,3,715,0.48,36,0,0.67,0.77,0.16,10-K,1,0.29,0,0,0.29,346
ROKU,2019,2.61,4.72,Communication Services,0.0,0.0,0.0,-0.3711620069788983,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,3,2522,0.51,78,1,0.59,0.52,0.22,10-K,0,0.1,0,0,0.48,262
ROKU,2020,3.55,7.18,Communication Services,0.0,0.0,0.0,-0.3711620069788983,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,3,118,0.68,22,2,0.13,0.57,0.28,10-K,1,0.22,0,0,0.16,278
ROKU,2021,3.49,5.52,Communication Services,0.0,0.0,0.0,-0.3711620069788983,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,4,2332,0.9,74,7,0.7,0.53,0.19,10-K,1,0.44,0,0,0.37,91
SIRI,2018,2.77,5.73,Communication Services,0.0,0.0,0.0,-0.3711620069788983,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,3,1301,0.87,73,1,0.39,0.28,0.95,10-K,0,0.06,0,0,0.41,96
SIRI,2019,2.29,3.73,Communication Services,0.0,0.0,0.0,-0.3711620069788983,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,2,936,0.28,78,4,0.64,0.52,0.8,10-K,0,0.22,0,0,0.55,317
SIRI,2020,1.86,5.38,Communication Services,0.0,0.0,0.0,-0.3711620069788983,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,1,2344,0.78,37,3,0.08,0.2,0.16,10-K,0,0.43,0,0,0.25,49
SIRI,2021,3.91,6.68,Communication Services,0.0,0.0,0.0,-0.3711620069788983,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,2,603,0.33,74,2,0.75,0.19,0.3,10-K,0,0.36,0,0,0.76,76
SIRI,2022,1.87,7.39,Communication Services,0.0,0.0,0.0,-0.3711620069788983,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,4,1182,0.41,72,2,0.68,0.13,0.51,10-K,1,0.41,0,0,0.7,405
SIRI,2023,4.13,5.44,Communication Services,0.0,0.0,0.0,-0.3711620069788983,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,2,365,0.86,74,2,0.72,0.86,0.72,10-K,1,0.15,0,0,0.13,117
SIRI,2024,2.85,4.72,Communication Services,0.0,0.0,0.0,-0.3711620069788983,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,3,2062,0.19,30,0,0.42,0.52,0.47,10-K,1,0.31,0,0,0.53,454
TSLA,2022,1.36,7.77,Consumer Discretionary,3.0,1.0,0.0,-0.3252919293356431,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,2,168,0.56,45,6,0.32,0.63,0.56,10-K,0,0.41,0,0,0.9,180
TSLA,2023,4.08,6.43,Consumer Discretionary,3.0,1.0,0.0,-0.3252919293356431,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,1,708,0.32,43,4,0.58,0.73,1.0,10-K,1,0.48,0,0,0.84,16
TSLA,2018,3.12,5.07,Consumer Discretionary,3.0,1.0,0.0,-0.3252919293356431,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,3,790,0.16,51,39,0.08,0.41,0.27,10-K,0,0.4,0,0,0.63,76
TSLA,2019,4.29,5.96,Consumer Discretionary,3.0,1.0,0.0,-0.3252919293356431,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,4,1724,0.2,60,24,0.8,0.81,0.32,10-K,0,0.07,0,0,0.51,41
TSLA,2020,3.92,4.33,Consumer Discretionary,3.0,1.0,0.0,-0.3252919293356431,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,3,1995,0.19,52,31,0.5,0.48,0.83,10-K,0,0.48,0,0,0.88,498
TSLA,2021,1.97,5.88,Consumer Discretionary,3.0,1.0,0.0,-0.3252919293356431,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,4,1234,0.26,44,6,0.39,0.36,0.22,10-K,0,0.22,0,0,0.86,395
TSLA,2024,4.15,5.83,Consumer Discretionary,3.0,1.0,0.0,-0.3252919293356431,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,3,2522,0.68,74,0,0.68,0.53,0.15,10-K,1,0.34,0,0,0.25,361
NKE,2018,3.62,5.35,Consumer Discretionary,99.0,119.0,0.0,1.5699054728895068,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,4,1931,0.64,28,219,0.67,0.37,0.25,10-K,0,0.47,3,0,0.7,10
NKE,2019,3.28,5.63,Consumer Discretionary,99.0,119.0,0.0,1.5699054728895068,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,3,759,0.74,26,205,0.74,0.37,0.36,10-K,0,0.38,3,0,0.77,227
NKE,2020,4.31,4.05,Consumer Discretionary,99.0,119.0,0.0,1.5699054728895068,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,1,2835,0.82,29,239,0.4,0.41,0.26,10-K,0,0.12,3,0,0.3,441
NKE,2021,2.74,4.84,Consumer Discretionary,99.0,119.0,0.0,1.5699054728895068,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,1,2350,0.14,25,234,0.2,0.68,0.38,10-K,0,0.54,3,0,0.85,13
NKE,2022,3.26,5.78,Consumer Discretionary,99.0,119.0,0.0,1.5699054728895068,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,3,1531,0.69,46,235,0.56,0.48,0.91,10-K,0,0.49,3,0,0.16,72
NKE,2023,3.69,6.15,Consumer Discretionary,99.0,119.0,0.0,1.5699054728895068,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,1,2952,0.62,41,224,0.63,0.84,0.23,10-K,1,0.03,3,0,0.54,228
NKE,2024,2.66,5.15,Consumer Discretionary,99.0,119.0,0.0,1.5699054728895068,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,1,189,0.67,16,204,0.49,0.84,0.41,10-K,0,0.07,3,0,0.77,365
MCD,2018,2.83,4.96,Consumer Discretionary,26.0,73.0,0.0,0.3460666469553216,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,3,895,0.66,29,153,0.33,0.55,0.95,10-K,1,0.51,0,0,0.27,23
MCD,2019,3.43,3.73,Consumer Discretionary,26.0,73.0,0.0,0.3460666469553216,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,4,123,0.23,56,143,0.36,0.63,0.95,10-K,0,0.06,0,0,0.55,142
MCD,2020,2.31,4.57,Consumer Discretionary,26.0,73.0,0.0,0.3460666469553216,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,1,2634,0.26,44,142,0.18,0.17,0.5,10-K,0,0.53,0,0,0.18,289
MCD,2021,5.0,6.66,Consumer Discretionary,26.0,73.0,0.0,0.3460666469553216,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,1,600,0.24,42,149,0.29,0.6,0.64,10-K,0,0.32,0,0,0.43,256
MCD,2022,4.28,5.59,Consumer Discretionary,26.0,73.0,0.0,0.3460666469553216,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,5,1450,0.27,59,171,0.3,0.65,0.25,10-K,1,0.57,0,0,0.86,491
MCD,2023,3.43,3.93,Consumer Discretionary,26.0,73.0,0.0,0.3460666469553216,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,2,2333,0.29,28,142,0.77,0.67,0.22,10-K,0,0.6,0,0,0.66,494
MCD,2024,3.25,5.77,Consumer Discretionary,26.0,73.0,0.0,0.3460666469553216,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,3,546,0.49,8,106,0.08,0.25,0.56,10-K,0,0.55,0,3,0.41,400
SBUX,2018,2.62,3.88,Consumer Discretionary,37.0,30.0,0.0,0.2823589143226911,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,2,1429,0.61,14,167,0.08,0.26,0.17,10-K,1,0.05,0,0,0.41,86
SBUX,2019,3.25,6.27,Consumer Discretionary,37.0,30.0,0.0,0.2823589143226911,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,1,2325,0.78,22,202,0.58,0.48,0.91,10-K,1,0.11,0,0,0.36,244
SBUX,2020,4.1,5.34,Consumer Discretionary,37.0,30.0,0.0,0.2823589143226911,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,4,2225,0.45,25,235,0.26,0.34,0.56,10-K,1,0.56,0,1,0.18,147
SBUX,2021,3.84,4.51,Consumer Discretionary,37.0,30.0,0.0,0.2823589143226911,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,1,1838,0.83,39,236,0.23,0.56,0.41,10-K,0,0.06,0,1,0.49,493
SBUX,2022,3.81,6.16,Consumer Discretionary,37.0,30.0,0.0,0.2823589143226911,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,4,573,0.14,78,278,0.7,0.67,0.73,10-K,0,0.53,0,1,0.42,300
SBUX,2023,4.17,5.44,Consumer Discretionary,37.0,30.0,0.0,0.2823589143226911,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,3,2936,0.63,57,283,0.55,0.13,0.5,10-K,0,0.27,0,1,0.89,146
SBUX,2024,3.06,5.77,Consumer Discretionary,37.0,30.0,0.0,0.2823589143226911,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,3,240,0.87,66,288,0.54,0.89,0.55,10-K,0,0.16,0,3,0.15,220
YUM,2018,3.05,5.68,Consumer Discretionary,22.0,48.0,0.0,0.1673011203592372,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,2,1069,0.85,31,97,0.16,0.27,0.6,10-K,0,0.2,0,0,0.19,467
YUM,2019,3.27,5.13,Consumer Discretionary,22.0,48.0,0.0,0.1673011203592372,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,3,1235,0.68,31,91,0.24,0.12,0.82,10-K,1,0.31,0,0,0.48,183
YUM,2020,3.33,5.03,Consumer Discretionary,22.0,48.0,0.0,0.1673011203592372,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,2,2719,0.23,75,76,0.21,0.41,0.23,10-K,1,0.16,0,0,0.56,141
YUM,2021,3.73,6.6,Consumer Discretionary,22.0,48.0,0.0,0.1673011203592372,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,1,2067,0.72,27,72,0.74,0.45,0.35,10-K,0,0.38,0,0,0.28,392
YUM,2022,2.76,6.39,Consumer Discretionary,22.0,48.0,0.0,0.1673011203592372,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,5,1773,0.84,79,113,0.37,0.83,0.11,10-K,1,0.16,0,0,0.47,56
YUM,2023,3.49,6.12,Consumer Discretionary,22.0,48.0,0.0,0.1673011203592372,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,2,1358,0.84,40,101,0.11,0.65,0.42,10-K,1,0.17,0,0,0.89,185
YUM,2024,3.28,4.71,Consumer Discretionary,22.0,48.0,0.0,0.1673011203592372,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,3,781,0.1,79,93,0.72,0.67,0.46,10-K,1,0.25,0,0,0.22,400
BKNG,2018,4.83,3.78,Consumer Discretionary,33.0,21.0,0.0,0.1831012793807437,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,2,2774,0.56,25,68,0.16,0.73,0.95,10-K,1,0.24,0,0,0.25,371
BKNG,2019,4.59,7.73,Consumer Discretionary,33.0,21.0,0.0,0.1831012793807437,90.94625282287598,21539.9815,255.18775,2.2625,-47073.75,0.033617409789894,5,2848,0.14,54,43,0.22,0.16,0.6,10-K,0,0.12,0,0,0.67,279
BKNG,2020,3.56,5.96,Consumer Discretionary,33.0,21.0,0.0,0.1831012793807437,77.29380416870117,21354.10475,258.4575,0.445,-53864.5,0.0423494427006115,5,1721,0.74,79,78,0.51,0.67,0.94,10-K,1,0.2,0,0,0.59,368
BKNG,2021,4.95,5.43,Consumer Discretionary,33.0,21.0,0.0,0.1831012793807437,82.07023620605469,23681.17075,269.43925,0.085,-65778.25,0.0367126568155122,1,2550,0.69,17,92,0.74,0.65,0.9,10-K,0,0.33,0,0,0.45,376
BKNG,2022,3.74,6.33,Consumer Discretionary,33.0,21.0,0.0,0.1831012793807437,157.58319346110025,26006.8925,291.01075,1.2925,-77411.5,0.0658741685287667,4,2294,0.5,51,162,0.14,0.69,0.31,10-K,1,0.2,0,0,0.42,461
BKNG,2023,3.17,4.99,Consumer Discretionary,33.0,21.0,0.0,0.1831012793807437,121.7112553914388,27720.7095,303.8955,4.9025,-66942.25,0.0594364112350361,4,1872,0.44,61,152,0.66,0.33,0.65,10-K,1,0.34,0,0,0.33,144
BKNG,2024,1.79,5.6,Consumer Discretionary,33.0,21.0,0.0,0.1831012793807437,134.31085014343262,29184.89025,312.985,5.205,-73269.0,0.0549303013068517,2,2399,0.5,67,141,0.26,0.54,0.42,10-K,0,0.18,0,3,0.69,109
HD,2018,4.96,3.94,Consumer Discretionary,6.0,9.0,0.0,-0.2446371490937031,98.5529073079427,20656.5155,250.768,1.7999999999999998,-48754.75,0.0489315467899222,5,2792,0.17,80,43,0.09,0.41,0.11,10-K,0,0.09,0,0,0.85,332
